group,team,P,W,D,L,GF,GA,GD,Pts,position
A,Mexico,3,2,1,0,4,1,3,7,1
A,South Korea,3,2,1,0,4,2,2,7,2
A,Czechia,3,0,1,2,2,4,-2,1,3
A,South Africa,3,0,1,2,1,4,-3,1,4
B,Switzerland,3,1,2,0,3,2,1,5,1
B,Canada,3,0,3,0,3,3,0,3,2
B,Qatar,3,0,3,0,3,3,0,3,3
B,Bosnia and Herzegovina,3,0,2,1,2,3,-1,2,4
C,Brazil,3,2,1,0,3,1,2,7,1
C,Morocco,3,2,1,0,3,1,2,7,2
C,Scotland,3,1,0,2,1,2,-1,3,3
C,Haiti,3,0,0,3,0,3,-3,0,4
D,USA,3,1,2,0,6,3,3,5,1
D,Australia,3,1,2,0,4,2,2,5,2
D,Türkiye,3,0,2,1,2,4,-2,2,3
D,Paraguay,3,0,2,1,3,6,-3,2,4
E,Germany,3,3,0,0,9,1,8,9,1
E,Côte d'Ivoire,3,2,0,1,2,1,1,6,2
E,Ecuador,3,1,0,2,1,2,-1,3,3
E,Curaçao,3,0,0,3,1,9,-8,0,4
F,Sweden,3,1,2,0,7,3,4,5,1
F,Japan,3,1,2,0,4,3,1,5,2
F,Netherlands,3,1,2,0,4,3,1,5,3
F,Tunisia,3,0,0,3,1,7,-6,0,4
G,Belgium,3,2,1,0,3,1,2,7,1
G,Egypt,3,1,2,0,3,2,1,5,2
G,Iran,3,0,2,1,3,4,-1,2,3
G,New Zealand,3,0,1,2,2,4,-2,1,4
H,Spain,3,2,1,0,2,0,2,7,1
H,Uruguay,3,1,1,1,2,2,0,4,2
H,Saudi Arabia,3,0,2,1,2,3,-1,2,3
H,Cabo Verde,3,0,2,1,1,2,-1,2,4
I,France,3,3,0,0,5,1,4,9,1
I,Norway,3,1,1,1,5,3,2,4,2
I,Senegal,3,1,1,1,3,4,-1,4,3
I,Iraq,3,0,0,3,1,6,-5,0,4
J,Argentina,3,3,0,0,5,0,5,9,1
J,Austria,3,2,0,1,4,2,2,6,2
J,Algeria,3,1,0,2,1,4,-3,3,3
J,Jordan,3,0,0,3,1,5,-4,0,4
K,Colombia,3,2,1,0,5,2,3,7,1
K,Portugal,3,1,2,0,3,2,1,5,2
K,Congo DR,3,0,2,1,2,3,-1,2,3
K,Uzbekistan,3,0,1,2,2,5,-3,1,4
L,England,3,3,0,0,6,2,4,9,1
L,Croatia,3,2,0,1,4,4,0,6,2
L,Ghana,3,1,0,2,1,2,-1,3,3
L,Panama,3,0,0,3,0,3,-3,0,4
